season,round,lap,driverId,position_en_vuelta,lap_time
2022,1,1,leclerc,1,1:39.070
2022,1,1,max_verstappen,2,1:40.236
2022,1,1,sainz,3,1:41.006
2022,1,1,hamilton,4,1:41.555
2022,1,1,kevin_magnussen,5,1:42.333
2022,1,1,perez,6,1:42.993
2022,1,1,russell,7,1:43.445
2022,1,1,gasly,8,1:44.270
2022,1,1,alonso,9,1:45.174
2022,1,1,ocon,10,1:46.170
2022,1,1,albon,11,1:47.636
2022,1,1,tsunoda,12,1:48.128
2022,1,1,mick_schumacher,13,1:48.826
2022,1,1,bottas,14,1:49.195
2022,1,1,hulkenberg,15,1:49.698
2022,1,1,norris,16,1:50.088
2022,1,1,stroll,17,1:50.439
2022,1,1,latifi,18,1:51.134
2022,1,1,zhou,19,1:51.374
2022,1,1,ricciardo,20,1:51.601
2022,1,2,leclerc,1,1:37.853
2022,1,2,max_verstappen,2,1:37.880
2022,1,2,sainz,3,1:38.649
2022,1,2,hamilton,4,1:39.002
2022,1,2,kevin_magnussen,5,1:38.993
2022,1,2,perez,6,1:39.092
2022,1,2,russell,7,1:39.694
2022,1,2,gasly,8,1:40.169
2022,1,2,alonso,9,1:40.412
2022,1,2,ocon,10,1:40.111
2022,1,2,albon,11,1:40.548
2022,1,2,tsunoda,12,1:40.697
2022,1,2,mick_schumacher,13,1:40.722
2022,1,2,bottas,14,1:40.817
2022,1,2,hulkenberg,15,1:41.077
2022,1,2,stroll,16,1:41.019
2022,1,2,norris,17,1:42.279
2022,1,2,zhou,18,1:41.229
2022,1,2,latifi,19,1:42.298
2022,1,2,ricciardo,20,1:42.590
2022,1,3,leclerc,1,1:38.272
2022,1,3,max_verstappen,2,1:38.357
2022,1,3,sainz,3,1:39.049
2022,1,3,hamilton,4,1:39.075
2022,1,3,perez,5,1:39.473
2022,1,3,kevin_magnussen,6,1:41.224
2022,1,3,russell,7,1:39.725
2022,1,3,gasly,8,1:39.968
2022,1,3,alonso,9,1:40.226
2022,1,3,ocon,10,1:40.248
2022,1,3,albon,11,1:40.664
2022,1,3,tsunoda,12,1:40.618
2022,1,3,mick_schumacher,13,1:40.747
2022,1,3,bottas,14,1:40.732
2022,1,3,hulkenberg,15,1:40.638
